train_id,Station_Full_Name,Ankomst,Avgång,Type,Operator,Line,Direction
FREIGHT_202404091315,Laxå,24:05:00,24:05:00,Freight,Väte Consulting AB,-,Avgång
FREIGHT_202404091315,Linddalen,24:09:00,24:09:00,Freight,Väte Consulting AB,-,Avgång
FREIGHT_202404091315,Vretstorp,24:13:00,24:13:00,Freight,Väte Consulting AB,-,Avgång
FREIGHT_202404091315,Östansjö,24:18:00,24:18:00,Freight,Väte Consulting AB,-,Avgång
FREIGHT_202404091315,Tälle,24:19:00,24:19:00,Freight,Väte Consulting AB,-,Avgång
FREIGHT_202404091315,Hallsbergs rangerbangård,24:25:00,24:25:00,Freight,Väte Consulting AB,-,Avgång
FREIGHT_202404091315,Hallsbergs pbg,24:28:00,24:28:00,Freight,Väte Consulting AB,-,Avgång
FREIGHT_202404091340,Katrineholms c,05:20:00,05:20:00,Freight,TX Logistik AB,-,Avgång
FREIGHT_202404091340,Stolpstugan,05:26:00,05:26:00,Freight,TX Logistik AB,-,Avgång
FREIGHT_202404091340,Sköldinge,05:32:00,05:32:00,Freight,TX Logistik AB,-,Avgång
FREIGHT_202404091340,Flen,05:39:00,05:39:00,Freight,TX Logistik AB,-,Avgång
FREIGHT_202404091343,Katrineholms c,27:27:00,27:27:00,Freight,TX Logistik AB,-,Avgång
FREIGHT_202404091343,Stolpstugan,27:31:00,27:31:00,Freight,TX Logistik AB,-,Avgång
FREIGHT_202404091343,Sköldinge,27:35:00,27:35:00,Freight,TX Logistik AB,-,Avgång
FREIGHT_202404091343,Flen,27:41:00,27:41:00,Freight,TX Logistik AB,-,Avgång
FREIGHT_202404091347,Katrineholms c,24:13:00,24:13:00,Freight,TX Logistik AB,-,Avgång
FREIGHT_202404091347,Stolpstugan,24:19:00,24:19:00,Freight,TX Logistik AB,-,Avgång
FREIGHT_202404091347,Sköldinge,24:24:00,24:24:00,Freight,TX Logistik AB,-,Avgång
FREIGHT_202404091347,Flen,24:30:00,24:30:00,Freight,TX Logistik AB,-,Avgång
FREIGHT_2024040916309,Järna,08:35:00,08:35:00,Freight,DB Schenker Rail Scandinavia A/S,-,Ankomst
FREIGHT_2024040916309,Järna,09:00:00,09:00:00,Freight,DB Schenker Rail Scandinavia A/S,-,Avgång
FREIGHT_2024040917996,Flen,27:00:00,27:00:00,Freight,Green Cargo AB,-,Avgång
FREIGHT_2024040917996,Sköldinge,27:06:00,27:06:00,Freight,Green Cargo AB,-,Avgång
FREIGHT_2024040917996,Stolpstugan,27:10:00,27:10:00,Freight,Green Cargo AB,-,Avgång
FREIGHT_2024040917996,Katrineholms c,27:15:00,27:15:00,Freight,Green Cargo AB,-,Avgång
FREIGHT_202404093930,Hallsbergs rangerbangård,24:54:00,24:54:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Tälle,24:58:00,24:58:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Östansjö,25:00:00,25:00:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Vretstorp,25:06:00,25:06:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Linddalen,25:09:00,25:09:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Laxå,25:15:00,25:15:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Finnerödja,25:23:00,25:23:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Gårdsjö,25:29:00,25:29:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Älgarås,25:34:00,25:34:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Slätte,25:38:00,25:38:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Töreboda,25:43:00,25:43:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Moholm,25:49:00,25:49:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Väring,25:57:00,25:57:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Skövde c,26:06:00,26:06:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Regumatorp,26:12:00,26:12:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Stenstorp,26:16:00,26:16:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Falköpings norra,26:24:00,26:24:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Falköpings c,26:25:00,26:25:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Floby,26:34:00,26:34:00,Freight,CFL Cargo Sverige AB,-,Avgång
FREIGHT_202404093930,Källeryd,26:39:00,26:39:00,Freight,CFL Cargo Sverige AB,-,Avgång
