taglank,plats,plandatumtid,train_type
202404091340,Katrineholms c,2024-04-10 05:20:00,GT
202404091340,Stolpstugan,2024-04-10 05:26:00,GT
202404091340,Sköldinge,2024-04-10 05:32:00,GT
202404091340,Flen,2024-04-10 05:39:00,GT
2024040916309,Järna,2024-04-10 08:35:00,GT
2024040916309,Järna,2024-04-10 09:00:00,GT
202404094121,Hallsbergs pbg,2024-04-10 10:08:00,GT
202404094121,Hallsbergs rangerbangård,2024-04-10 10:13:00,GT
202404094121,Hallsbergs rangerbangård,2024-04-10 11:20:00,GT
202404094122,Flen,2024-04-10 11:29:00,GT
202404094122,Sköldinge,2024-04-10 11:34:00,GT
202404094122,Stolpstugan,2024-04-10 11:38:00,GT
202404094122,Katrineholms c,2024-04-10 11:43:00,GT
202404094122,Baggetorp,2024-04-10 11:47:00,GT
202404094122,Vingåker,2024-04-10 11:56:00,GT
202404094122,Vingåker,2024-04-10 12:05:00,GT
202404094122,Högsjö,2024-04-10 12:12:00,GT
202404094122,Kilsmo,2024-04-10 12:20:00,GT
202404094122,Pålsboda,2024-04-10 12:27:00,GT
202404094122,Hallsbergs pbg,2024-04-10 12:38:00,GT
202404094122,Hallsbergs rangerbangård,2024-04-10 12:43:00,GT
202404094122,Hallsbergs rangerbangård,2024-04-10 12:43:00,GT
202404094122,Tälle,2024-04-10 12:46:00,GT
202404094122,Östansjö,2024-04-10 12:48:00,GT
202404094122,Vretstorp,2024-04-10 12:53:00,GT
202404094122,Linddalen,2024-04-10 12:57:00,GT
202404094122,Laxå,2024-04-10 13:03:00,GT
202404094122,Finnerödja,2024-04-10 13:12:00,GT
202404094122,Gårdsjö,2024-04-10 13:18:00,GT
202404094122,Älgarås,2024-04-10 13:23:00,GT
202404094122,Slätte,2024-04-10 13:28:00,GT
202404094122,Töreboda,2024-04-10 13:33:00,GT
202404094122,Moholm,2024-04-10 13:41:00,GT
202404094122,Väring,2024-04-10 13:49:00,GT
202404094122,Skövde c,2024-04-10 13:59:00,GT
202404094122,Regumatorp,2024-04-10 14:04:00,GT
202404094122,Stenstorp,2024-04-10 14:08:00,GT
202404094122,Falköpings norra,2024-04-10 14:15:00,GT
202404094122,Falköpings c,2024-04-10 14:18:00,GT
202404094124,Hallsbergs pbg,2024-04-10 06:03:00,GT
202404094124,Hallsbergs rangerbangård,2024-04-10 06:06:00,GT
202404094124,Tälle,2024-04-10 06:09:00,GT
202404094124,Östansjö,2024-04-10 06:10:00,GT
202404094124,Vretstorp,2024-04-10 06:15:00,GT
202404094124,Linddalen,2024-04-10 06:18:00,GT
202404094124,Laxå,2024-04-10 06:24:00,GT
202404094124,Finnerödja,2024-04-10 06:31:00,GT
202404094124,Gårdsjö,2024-04-10 06:37:00,GT
202404094124,Älgarås,2024-04-10 06:42:00,GT
202404094124,Slätte,2024-04-10 06:46:00,GT
202404094124,Töreboda,2024-04-10 06:51:00,GT
202404094124,Moholm,2024-04-10 06:57:00,GT
202404094124,Väring,2024-04-10 07:06:00,GT
202404094124,Väring,2024-04-10 07:11:00,GT
202404094124,Skövde c,2024-04-10 07:22:00,GT
202404094124,Regumatorp,2024-04-10 07:27:00,GT
202404094124,Stenstorp,2024-04-10 07:31:00,GT
202404094124,Falköpings norra,2024-04-10 07:38:00,GT
202404094124,Falköpings c,2024-04-10 07:41:00,GT
202404094124,Falköpings c,2024-04-10 07:46:00,GT
202404094124,Floby,2024-04-10 07:56:00,GT
202404094124,Källeryd,2024-04-10 08:01:00,GT
202404094124,Herrljunga central,2024-04-10 08:09:00,GT
202404094124,Herrljunga västra,2024-04-10 08:11:00,GT
202404094124,Vårgårda,2024-04-10 08:17:00,GT
202404094124,Algutsgården,2024-04-10 08:24:00,GT
202404094124,Algutsgården,2024-04-10 08:41:00,GT
202404094124,Alingsås,2024-04-10 08:49:00,GT
202404094124,Bryngenäs,2024-04-10 08:52:00,GT
202404094124,Västra Bodarna,2024-04-10 08:53:00,GT
202404094124,Norsesund,2024-04-10 08:55:00,GT
202404094124,Norsesund västra,2024-04-10 08:55:00,GT
202404094124,Floda,2024-04-10 09:00:00,GT
202404094124,Stenkullen,2024-04-10 09:03:00,GT
202404094124,Stenkullen,2024-04-10 09:12:00,GT
202404094124,Lerum,2024-04-10 09:16:00,GT
202404094124,Aspedalen,2024-04-10 09:16:00,GT
202404094124,Aspen,2024-04-10 09:17:00,GT
202404094124,Jonsered östra,2024-04-10 09:18:00,GT
202404094124,Jonsered Västra,2024-04-10 09:19:00,GT
202404094124,Partille,2024-04-10 09:22:00,GT
202404094124,Sävedalen,2024-04-10 09:23:00,GT
202404094124,Göteborg Sävenäs,2024-04-10 09:25:00,GT
202404094124,Olskroken,2024-04-10 09:26:00,GT
202404094124,Göteborg Kville,2024-04-10 09:31:00,GT
202404094124,Göteborg Lindholmen,2024-04-10 09:35:00,GT
202404094124,Pölsebo,2024-04-10 09:39:00,GT
202404094124,Göteborg Skandiahamnen,2024-04-10 09:46:00,GT
202404096459,Hallsbergs pbg,2024-04-10 05:01:00,GT
202404096459,Hallsbergs rangerbangård,2024-04-10 05:07:00,GT
