taglank,tagslag,plandatumtid,utfdatumtid,tidsavvikelse,riktningny,plats,platssignatur,latitud,longitud,antal_orsakskravande_merforseningar,registrerad_merforsening,orsakskod,niva1,niva1kod,niva2,niva2kod,niva3,niva3kod,vfran,vtill,tagnr,annonserat_tagnr,avtalspart,utf_aktor
202404099941,GT,2024-04-10 22:32:00,2024-04-10 22:27:00,-5,Ankomst,Hallsbergs pbg,Hpbg,59.067109056171,15.11124780146,0,0.0,-- -,-,-,-,-,-,-,SÖV,HBGB,34423,-,Green Cargo AB,Green Cargo AB
202404099941,GT,2024-04-10 22:35:00,2024-04-10 22:32:00,-3,Avgång,Hallsbergs pbg,Hpbg,59.067109056171,15.11124780146,0,0.0,-- -,-,-,-,-,-,-,SÖV,HBGB,34423,-,Green Cargo AB,Green Cargo AB
202404099941,GT,2024-04-10 22:41:00,2024-04-10 22:35:00,-6,Avgång,Hallsbergs rangerbangård,Hrbg,59.058656562317,15.059332683087,0,0.0,-- -,-,-,-,-,-,-,SÖV,HBGB,34423,-,Green Cargo AB,Green Cargo AB
202404101347,GT,2024-04-11 00:13:00,2024-04-10 23:37:00,-36,Avgång,Katrineholms c,K,58.996511676173,16.209183631708,0,0.0,-- -,-,-,-,-,-,-,MGB,KJU,44200,-,TX Logistik AB,TX Logistik AB
202404101347,GT,2024-04-11 00:19:00,2024-04-10 23:42:00,-37,Avgång,Stolpstugan,Spn,59.012100754256,16.343503931361,0,0.0,-- -,-,-,-,-,-,-,MGB,KJU,44200,-,TX Logistik AB,TX Logistik AB
202404101347,GT,2024-04-11 00:24:00,2024-04-10 23:46:00,-38,Avgång,Sköldinge,Sde,59.030244227909,16.454153682228,0,0.0,-- -,-,-,-,-,-,-,MGB,KJU,44200,-,TX Logistik AB,TX Logistik AB
202404101347,GT,2024-04-11 00:30:00,2024-04-10 23:52:00,-38,Avgång,Flen,Fle,59.056946590564,16.585278216397,0,0.0,-- -,-,-,-,-,-,-,MGB,KJU,44200,-,TX Logistik AB,TX Logistik AB
202404101350,GT,2024-04-10 22:52:00,2024-04-10 21:53:00,-59,Avgång,Hallsbergs pbg,Hpbg,59.067109056171,15.11124780146,0,0.0,-- -,-,-,-,-,-,-,ET,TRG,44121,-,TX Logistik AB,TX Logistik AB
202404101350,GT,2024-04-10 22:56:00,2024-04-10 21:56:00,-60,Avgång,Hallsbergs rangerbangård,Hrbg,59.058656562317,15.059332683087,0,0.0,-- -,-,-,-,-,-,-,ET,TRG,44121,-,TX Logistik AB,TX Logistik AB
202404101354,GT,2024-04-10 22:06:00,2024-04-10 21:09:00,-57,Avgång,Flen,Fle,59.056946590564,16.585278216397,0,0.0,-- -,-,-,-,-,-,-,FOK,TRG,44101,-,TX Logistik AB,TX Logistik AB
202404101354,GT,2024-04-10 22:12:00,2024-04-10 21:16:00,-56,Avgång,Sköldinge,Sde,59.030244227909,16.454153682228,0,0.0,-- -,-,-,-,-,-,-,FOK,TRG,44101,-,TX Logistik AB,TX Logistik AB
