station,order,is_stop
Göteborg Skandiahamnen,0,False
Pölsebo,1,False
Göteborg Lindholmen,2,False
Göteborg Kville,3,False
Olskroken,4,False
Göteborg Sävenäs,5,False
Sävedalen,6,False
Partille,7,False
Jonsered Västra,8,False
Jonsered östra,9,False
Aspen,10,False
Aspedalen,11,False
Lerum,12,True
Stenkullen,13,False
Floda,14,False
Norsesund västra,15,False
Norsesund,16,False
Västra Bodarna,17,False
Bryngenäs,18,False
Alingsås,19,False
Algutsgården,20,False
Vårgårda,21,False
Herrljunga västra,22,False
Herrljunga central,23,False
Källeryd,24,False
Floby,25,False
Falköpings c,26,True
Falköpings norra,27,False
Stenstorp,28,False
Regumatorp,29,False
Skövde c,30,False
Väring,31,False
Moholm,32,False
Töreboda,33,False
Slätte,34,False
Älgarås,35,False
Gårdsjö,36,False
Finnerödja,37,False
Laxå,38,True
Linddalen,39,False
Vretstorp,40,False
Östansjö,41,False
Tälle,42,False
Hallsbergs rangerbangård,43,True
Hallsbergs pbg,44,True
Pålsboda,45,False
Kilsmo,46,False
Högsjö,47,False
Vingåker,48,False
Baggetorp,49,False
Katrineholms c,50,False
Stolpstugan,51,False
Sköldinge,52,False
Flen,53,False
Skebokvarn,54,True
Sparreholm,55,False
Nyckelsjön,56,False
Stjärnhov,57,False
Björnlunda,58,False
Kolke,59,False
Gnesta,60,False
Mölnbo,61,False
Järna,62,False
Bränninge,63,False
Södertälje syd undre,64,False
Södertälje hamn,65,False
