taglank,tagslag,plandatumtid,utfdatumtid,tidsavvikelse,riktningny,plats,platssignatur,latitud,longitud,antal_orsakskravande_merforseningar,registrerad_merforsening,orsakskod,niva1,niva1kod,niva2,niva2kod,niva3,niva3kod,vfran,vtill,tagnr,annonserat_tagnr,avtalspart,utf_aktor
202404091315,GT,2024-04-09 23:33:00,2024-04-09 23:10:00,-23,Avgång,Töreboda,T,58.704573120797,14.127171273142,0,0.0,-- -,-,-,-,-,-,-,GSH,GSH,30214,-,Väte Consulting AB,Väte Consulting AB
202404091315,GT,2024-04-09 23:41:00,2024-04-09 23:17:00,-24,Avgång,Slätte,Sle,58.764409564141,14.200876963921,0,0.0,-- -,-,-,-,-,-,-,GSH,GSH,30214,-,Väte Consulting AB,Väte Consulting AB
202404091315,GT,2024-04-09 23:45:00,2024-04-09 23:21:00,-24,Avgång,Älgarås,Äl,58.813522272116,14.255408725647,0,0.0,-- -,-,-,-,-,-,-,GSH,GSH,30214,-,Väte Consulting AB,Väte Consulting AB
202404091315,GT,2024-04-09 23:50:00,2024-04-09 23:33:00,-17,Avgång,Gårdsjö,Gdö,58.872130484702,14.333802381332,0,0.0,-- -,-,-,-,-,-,-,GSH,GSH,30214,-,Väte Consulting AB,Väte Consulting AB
202404091315,GT,2024-04-09 23:55:00,2024-04-09 23:39:00,-16,Avgång,Finnerödja,Fa,58.926191502544,14.44291591479,0,0.0,-- -,-,-,-,-,-,-,GSH,GSH,30214,-,Väte Consulting AB,Väte Consulting AB
202404091315,GT,2024-04-10 00:05:00,2024-04-09 23:53:00,-12,Avgång,Laxå,Lå,58.988919108157,14.614602705156,0,0.0,-- -,-,-,-,-,-,-,GSH,GSH,30214,-,Väte Consulting AB,Väte Consulting AB
202404091315,GT,2024-04-10 00:09:00,2024-04-09 23:58:00,-11,Avgång,Linddalen,Lln,59.011397052314,14.769071049972,0,0.0,-- -,-,-,-,-,-,-,GSH,GSH,30214,-,Väte Consulting AB,Väte Consulting AB
202404091315,GT,2024-04-10 00:13:00,2024-04-10 00:21:00,8,Avgång,Vretstorp,Vt,59.021581709965,14.864881642281,1,8.0,JIA 08,Järnvägsföretag,J,Innan avgång,IA,Inväntande vagnar från kund,08,GSH,GSH,30214,-,Väte Consulting AB,Väte Consulting AB
202404091315,GT,2024-04-10 00:18:00,2024-04-10 00:26:00,8,Avgång,Östansjö,Öj,59.045628998774,14.981333749593,0,0.0,-- -,-,-,-,-,-,-,GSH,GSH,30214,-,Väte Consulting AB,Väte Consulting AB
202404091315,GT,2024-04-10 00:19:00,2024-04-10 00:27:00,8,Avgång,Tälle,Täl,59.050173120743,15.019017336807,0,0.0,-- -,-,-,-,-,-,-,GSH,GSH,30214,-,Väte Consulting AB,Väte Consulting AB
202404091315,GT,2024-04-10 00:25:00,2024-04-10 00:29:00,4,Avgång,Hallsbergs rangerbangård,Hrbg,59.058656562317,15.059332683087,0,0.0,-- -,-,-,-,-,-,-,GSH,GSH,30214,-,Väte Consulting AB,Väte Consulting AB
202404091315,GT,2024-04-10 00:28:00,2024-04-10 00:32:00,4,Avgång,Hallsbergs pbg,Hpbg,59.067109056171,15.11124780146,0,0.0,-- -,-,-,-,-,-,-,GSH,GSH,30214,-,Väte Consulting AB,Väte Consulting AB
202404091340,GT,2024-04-10 05:20:00,2024-04-10 05:20:00,0,Avgång,Katrineholms c,K,58.996511676173,16.209183631708,0,0.0,-- -,-,-,-,-,-,-,TRG,ET,44120,-,TX Logistik AB,TX Logistik AB
202404091340,GT,2024-04-10 05:26:00,2024-04-10 05:25:00,-1,Avgång,Stolpstugan,Spn,59.012100754256,16.343503931361,0,0.0,-- -,-,-,-,-,-,-,TRG,ET,44120,-,TX Logistik AB,TX Logistik AB
202404091340,GT,2024-04-10 05:32:00,2024-04-10 05:29:00,-3,Avgång,Sköldinge,Sde,59.030244227909,16.454153682228,0,0.0,-- -,-,-,-,-,-,-,TRG,ET,44120,-,TX Logistik AB,TX Logistik AB
202404091340,GT,2024-04-10 05:39:00,2024-04-10 05:34:00,-5,Avgång,Flen,Fle,59.056946590564,16.585278216397,0,0.0,-- -,-,-,-,-,-,-,TRG,ET,44120,-,TX Logistik AB,TX Logistik AB
202404091343,GT,2024-04-10 03:27:00,2024-04-10 04:00:00,33,Avgång,Katrineholms c,K,58.996511676173,16.209183631708,0,0.0,-- -,-,-,-,-,-,-,TRG,FOK,44100,-,TX Logistik AB,TX Logistik AB
202404091343,GT,2024-04-10 03:31:00,2024-04-10 04:05:00,34,Avgång,Stolpstugan,Spn,59.012100754256,16.343503931361,0,1.0,-- -,-,-,-,-,-,-,TRG,FOK,44100,-,TX Logistik AB,TX Logistik AB
202404091343,GT,2024-04-10 03:35:00,2024-04-10 04:09:00,34,Avgång,Sköldinge,Sde,59.030244227909,16.454153682228,0,0.0,-- -,-,-,-,-,-,-,TRG,FOK,44100,-,TX Logistik AB,TX Logistik AB
202404091343,GT,2024-04-10 03:41:00,2024-04-10 04:15:00,34,Avgång,Flen,Fle,59.056946590564,16.585278216397,0,0.0,-- -,-,-,-,-,-,-,TRG,FOK,44100,-,TX Logistik AB,TX Logistik AB
202404091347,GT,2024-04-10 00:13:00,2024-04-09 23:22:00,-51,Avgång,Katrineholms c,K,58.996511676173,16.209183631708,0,0.0,-- -,-,-,-,-,-,-,MGB,KJU,44200,-,TX Logistik AB,TX Logistik AB
202404091347,GT,2024-04-10 00:19:00,2024-04-09 23:27:00,-52,Avgång,Stolpstugan,Spn,59.012100754256,16.343503931361,0,0.0,-- -,-,-,-,-,-,-,MGB,KJU,44200,-,TX Logistik AB,TX Logistik AB
202404091347,GT,2024-04-10 00:24:00,2024-04-09 23:31:00,-53,Avgång,Sköldinge,Sde,59.030244227909,16.454153682228,0,0.0,-- -,-,-,-,-,-,-,MGB,KJU,44200,-,TX Logistik AB,TX Logistik AB
202404091347,GT,2024-04-10 00:30:00,2024-04-09 23:37:00,-53,Avgång,Flen,Fle,59.056946590564,16.585278216397,0,0.0,-- -,-,-,-,-,-,-,MGB,KJU,44200,-,TX Logistik AB,TX Logistik AB
2024040916309,GT,2024-04-10 08:35:00,2024-04-10 09:02:00,27,Ankomst,Järna,Jn,59.093817556783,17.568388885001,0,0.0,-- -,-,-,-,-,-,-,MGB,RS,51166,-,DB Schenker Rail Scandinavia A/S,DB Schenker Rail Scandinavia A/S
2024040916309,GT,2024-04-10 09:00:00,2024-04-10 09:02:00,2,Avgång,Järna,Jn,59.093817556783,17.568388885001,0,0.0,-- -,-,-,-,-,-,-,MGB,RS,51166,-,DB Schenker Rail Scandinavia A/S,DB Schenker Rail Scandinavia A/S
2024040917996,GT,2024-04-10 03:00:00,2024-04-10 03:46:00,46,Avgång,Flen,Fle,59.056946590564,16.585278216397,0,1.0,-- -,-,-,-,-,-,-,ÅGGB,NR,30685,-,Green Cargo AB,Green Cargo AB
2024040917996,GT,2024-04-10 03:06:00,2024-04-10 03:53:00,47,Avgång,Sköldinge,Sde,59.030244227909,16.454153682228,0,1.0,-- -,-,-,-,-,-,-,ÅGGB,NR,30685,-,Green Cargo AB,Green Cargo AB
2024040917996,GT,2024-04-10 03:10:00,2024-04-10 03:57:00,47,Avgång,Stolpstugan,Spn,59.012100754256,16.343503931361,0,0.0,-- -,-,-,-,-,-,-,ÅGGB,NR,30685,-,Green Cargo AB,Green Cargo AB
2024040917996,GT,2024-04-10 03:15:00,2024-04-10 04:03:00,48,Avgång,Katrineholms c,K,58.996511676173,16.209183631708,0,1.0,-- -,-,-,-,-,-,-,ÅGGB,NR,30685,-,Green Cargo AB,Green Cargo AB
202404093930,GT,2024-04-10 00:54:00,2024-04-10 00:45:00,-9,Avgång,Hallsbergs rangerbangård,Hrbg,59.058656562317,15.059332683087,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 00:58:00,2024-04-10 00:54:00,-4,Avgång,Tälle,Täl,59.050173120743,15.019017336807,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 01:00:00,2024-04-10 00:57:00,-3,Avgång,Östansjö,Öj,59.045628998774,14.981333749593,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 01:06:00,2024-04-10 01:02:00,-4,Avgång,Vretstorp,Vt,59.021581709965,14.864881642281,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 01:09:00,2024-04-10 01:05:00,-4,Avgång,Linddalen,Lln,59.011397052314,14.769071049972,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 01:15:00,2024-04-10 01:10:00,-5,Avgång,Laxå,Lå,58.988919108157,14.614602705156,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 01:23:00,2024-04-10 01:20:00,-3,Avgång,Finnerödja,Fa,58.926191502544,14.44291591479,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 01:29:00,2024-04-10 01:27:00,-2,Avgång,Gårdsjö,Gdö,58.872130484702,14.333802381332,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 01:34:00,2024-04-10 01:33:00,-1,Avgång,Älgarås,Äl,58.813522272116,14.255408725647,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 01:38:00,2024-04-10 01:37:00,-1,Avgång,Slätte,Sle,58.764409564141,14.200876963921,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 01:43:00,2024-04-10 01:44:00,1,Avgång,Töreboda,T,58.704573120797,14.127171273142,0,1.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 01:49:00,2024-04-10 01:52:00,3,Avgång,Moholm,Mh,58.607131687725,14.040189096627,0,2.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 01:57:00,2024-04-10 01:59:00,2,Avgång,Väring,Vä,58.511465339891,13.959383081134,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 02:06:00,2024-04-10 02:10:00,4,Avgång,Skövde c,Sk,58.389037124246,13.851859920356,0,2.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 02:12:00,2024-04-10 02:16:00,4,Avgång,Regumatorp,Rmtp,58.317033122887,13.790299404437,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 02:16:00,2024-04-10 02:20:00,4,Avgång,Stenstorp,Ss,58.27291618201,13.712659753489,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 02:24:00,2024-04-10 02:29:00,5,Avgång,Falköpings norra,Fn,58.195118940153,13.577451777392,0,1.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 02:25:00,2024-04-10 02:30:00,5,Avgång,Falköpings c,F,58.175743836385,13.552006166893,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 02:34:00,2024-04-10 02:39:00,5,Avgång,Floby,Fby,58.138743611459,13.332227206158,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 02:39:00,2024-04-10 02:44:00,5,Avgång,Källeryd,Kä,58.114637791752,13.193576737105,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 02:47:00,2024-04-10 02:51:00,4,Avgång,Herrljunga central,Hrc,58.079057002365,13.020948677544,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 02:49:00,2024-04-10 02:53:00,4,Avgång,Herrljunga västra,Hrv,58.079057002365,13.020948677544,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 02:55:00,2024-04-10 03:02:00,7,Avgång,Vårgårda,Vgå,58.031143568217,12.809253548431,1,3.0,JUF 02,Järnvägsföretag,J,Under färd,UF,Gångtidsförlust,02,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 03:02:00,2024-04-10 03:09:00,7,Avgång,Algutsgården,Agg,57.988136295037,12.651869960093,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 03:08:00,2024-04-10 03:18:00,10,Avgång,Alingsås,A,57.926905167417,12.532185446103,1,3.0,JUF 02,Järnvägsföretag,J,Under färd,UF,Gångtidsförlust,02,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 03:12:00,2024-04-10 03:22:00,10,Avgång,Bryngenäs,Bgs,57.897760381599,12.487553814658,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 03:13:00,2024-04-10 03:23:00,10,Avgång,Västra Bodarna,Vbd,57.887564063098,12.474109686003,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 03:15:00,2024-04-10 03:25:00,10,Avgång,Norsesund,Ns,57.861336645898,12.438839347672,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 03:15:00,2024-04-10 03:26:00,11,Avgång,Norsesund västra,Ndv,57.858782504793,12.433845167966,0,1.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 03:20:00,2024-04-10 03:30:00,10,Avgång,Floda,Fd,57.81000255389,12.361481813549,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 03:22:00,2024-04-10 03:32:00,10,Avgång,Stenkullen,Sn,57.791737150892,12.314619854101,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 03:25:00,2024-04-10 03:34:00,9,Avgång,Lerum,Lr,57.76940162823,12.272803970853,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 03:25:00,2024-04-10 03:35:00,10,Avgång,Aspedalen,Asd,57.762478064259,12.258478349733,0,1.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
202404093930,GT,2024-04-10 03:26:00,2024-04-10 03:36:00,10,Avgång,Aspen,Apn,57.754422054421,12.240512226675,0,0.0,-- -,-,-,-,-,-,-,AVKY,GSH,49521,-,CFL Cargo Sverige AB,CFL Cargo Sverige AB
