departure_time,departure_minutes,status,total_conflicts,conflict_stations
00:00,0,CONGESTED,416,9
00:15,15,CONGESTED,39,8
00:30,30,LIMITED,1,1
00:45,45,AVAILABLE,0,0
01:00,60,AVAILABLE,0,0
01:15,75,AVAILABLE,0,0
01:30,90,AVAILABLE,0,0
01:45,105,AVAILABLE,0,0
02:00,120,CONGESTED,8,4
02:15,135,CONGESTED,10,5
02:30,150,CONGESTED,15,5
02:45,165,CONGESTED,5,4
03:00,180,AVAILABLE,0,0
03:15,195,AVAILABLE,0,0
03:30,210,AVAILABLE,0,0
03:45,225,AVAILABLE,0,0
04:00,240,AVAILABLE,0,0
04:15,255,AVAILABLE,0,0
04:30,270,AVAILABLE,0,0
04:45,285,AVAILABLE,0,0
05:00,300,AVAILABLE,0,0
05:15,315,AVAILABLE,0,0
05:30,330,AVAILABLE,0,0
05:45,345,AVAILABLE,0,0
06:00,360,AVAILABLE,0,0
06:15,375,AVAILABLE,0,0
06:30,390,AVAILABLE,0,0
06:45,405,AVAILABLE,0,0
07:00,420,AVAILABLE,0,0
07:15,435,AVAILABLE,0,0
07:30,450,AVAILABLE,0,0
07:45,465,AVAILABLE,0,0
08:00,480,AVAILABLE,0,0
08:15,495,AVAILABLE,0,0
08:30,510,AVAILABLE,0,0
08:45,525,AVAILABLE,0,0
09:00,540,AVAILABLE,0,0
09:15,555,AVAILABLE,0,0
09:30,570,AVAILABLE,0,0
09:45,585,AVAILABLE,0,0
10:00,600,AVAILABLE,0,0
10:15,615,AVAILABLE,0,0
10:30,630,AVAILABLE,0,0
10:45,645,AVAILABLE,0,0
11:00,660,AVAILABLE,0,0
11:15,675,AVAILABLE,0,0
11:30,690,AVAILABLE,0,0
11:45,705,AVAILABLE,0,0
12:00,720,AVAILABLE,0,0
12:15,735,AVAILABLE,0,0
12:30,750,AVAILABLE,0,0
12:45,765,AVAILABLE,0,0
13:00,780,AVAILABLE,0,0
13:15,795,AVAILABLE,0,0
13:30,810,AVAILABLE,0,0
13:45,825,AVAILABLE,0,0
14:00,840,AVAILABLE,0,0
14:15,855,AVAILABLE,0,0
14:30,870,AVAILABLE,0,0
14:45,885,AVAILABLE,0,0
15:00,900,AVAILABLE,0,0
15:15,915,AVAILABLE,0,0
15:30,930,AVAILABLE,0,0
15:45,945,AVAILABLE,0,0
16:00,960,AVAILABLE,0,0
16:15,975,AVAILABLE,0,0
16:30,990,AVAILABLE,0,0
16:45,1005,AVAILABLE,0,0
17:00,1020,AVAILABLE,0,0
17:15,1035,AVAILABLE,0,0
17:30,1050,AVAILABLE,0,0
17:45,1065,AVAILABLE,0,0
18:00,1080,AVAILABLE,0,0
18:15,1095,AVAILABLE,0,0
18:30,1110,AVAILABLE,0,0
18:45,1125,AVAILABLE,0,0
19:00,1140,AVAILABLE,0,0
19:15,1155,AVAILABLE,0,0
19:30,1170,AVAILABLE,0,0
19:45,1185,AVAILABLE,0,0
20:00,1200,AVAILABLE,0,0
20:15,1215,AVAILABLE,0,0
20:30,1230,AVAILABLE,0,0
20:45,1245,AVAILABLE,0,0
21:00,1260,CONGESTED,4,3
21:15,1275,CONGESTED,19,10
21:30,1290,CONGESTED,28,17
21:45,1305,CONGESTED,17,12
22:00,1320,LIMITED,1,1
22:15,1335,AVAILABLE,0,0
22:30,1350,AVAILABLE,0,0
22:45,1365,LIMITED,2,2
23:00,1380,CONGESTED,8,8
23:15,1395,CONGESTED,26,16
23:30,1410,CONGESTED,1340,18
23:45,1425,CONGESTED,1346,13
