station,date,headway_minutes,hour
Nässjö c,2024-09-28,25.0,23
Strångsjö,2024-09-28,5.0,21
Falköpings c,2024-01-02,865.0,1
Falköpings c,2024-01-04,865.0,1
Falköpings c,2024-01-05,865.0,1
Falköpings c,2024-01-08,865.0,1
Falköpings c,2024-01-12,865.0,1
Falköpings c,2024-01-15,865.0,1
Falköpings c,2024-01-16,865.0,1
Falköpings c,2024-01-18,865.0,1
Falköpings c,2024-01-19,865.0,1
Falköpings c,2024-01-25,865.0,1
Falköpings c,2024-01-26,865.0,1
Falköpings c,2024-01-29,865.0,1
Falköpings c,2024-01-30,865.0,1
Falköpings c,2024-02-01,865.0,1
Falköpings c,2024-02-02,865.0,1
Falköpings c,2024-02-05,865.0,1
Falköpings c,2024-02-08,865.0,1
Falköpings c,2024-02-09,865.0,1
Falköpings c,2024-02-12,865.0,1
Falköpings c,2024-02-13,865.0,1
Falköpings c,2024-02-19,865.0,1
Falköpings c,2024-02-22,865.0,1
Falköpings c,2024-02-23,865.0,1
Falköpings c,2024-02-26,865.0,1
Falköpings c,2024-03-01,865.0,1
Falköpings c,2024-03-04,865.0,1
Falköpings c,2024-03-08,865.0,1
Falköpings c,2024-03-11,900.0,0
Falköpings c,2024-03-14,865.0,1
Falköpings c,2024-03-15,865.0,1
Falköpings c,2024-03-18,865.0,1
Falköpings c,2024-03-21,865.0,1
Falköpings c,2024-03-22,865.0,1
Falköpings c,2024-03-25,865.0,1
Falköpings c,2024-03-26,865.0,1
Falköpings c,2024-03-27,865.0,1
Falköpings c,2024-04-02,863.0,1
Falköpings c,2024-04-05,862.0,1
Falköpings c,2024-04-08,862.0,1
Falköpings c,2024-04-11,862.0,1
Falköpings c,2024-04-12,862.0,1
Falköpings c,2024-04-15,862.0,1
Falköpings c,2024-04-16,862.0,1
Falköpings c,2024-04-18,862.0,1
Falköpings c,2024-04-24,862.0,1
Falköpings c,2024-04-25,862.0,1
Falköpings c,2024-04-26,862.0,1
Falköpings c,2024-04-29,862.0,1
Falköpings c,2024-05-03,862.0,1
Falköpings c,2024-05-06,841.0,1
Falköpings c,2024-05-07,841.0,1
Falköpings c,2024-05-08,862.0,1
Falköpings c,2024-05-10,862.0,1
Falköpings c,2024-05-14,862.0,1
Falköpings c,2024-05-15,862.0,1
Falköpings c,2024-05-16,862.0,1
Falköpings c,2024-05-17,862.0,1
Falköpings c,2024-05-22,862.0,1
Falköpings c,2024-05-23,862.0,1
Falköpings c,2024-05-24,862.0,1
Falköpings c,2024-05-27,862.0,1
Falköpings c,2024-05-28,862.0,1
Falköpings c,2024-05-29,862.0,1
Falköpings c,2024-05-30,862.0,1
Falköpings c,2024-05-31,862.0,1
Falköpings c,2024-06-03,862.0,1
Falköpings c,2024-06-04,862.0,1
Falköpings c,2024-06-05,862.0,1
Falköpings c,2024-06-07,862.0,1
Falköpings c,2024-06-10,862.0,1
Falköpings c,2024-06-12,862.0,1
Falköpings c,2024-06-13,862.0,1
Falköpings c,2024-06-14,862.0,1
Falköpings c,2024-06-17,862.0,1
Falköpings c,2024-06-18,862.0,1
Falköpings c,2024-06-19,862.0,1
Falköpings c,2024-06-20,862.0,1
Falköpings c,2024-06-24,862.0,1
Falköpings c,2024-06-25,862.0,1
Falköpings c,2024-07-02,862.0,1
Falköpings c,2024-07-03,862.0,1
Falköpings c,2024-07-08,862.0,1
Falköpings c,2024-07-09,862.0,1
Falköpings c,2024-07-10,862.0,1
Falköpings c,2024-07-11,862.0,1
Falköpings c,2024-07-12,862.0,1
Falköpings c,2024-07-15,862.0,1
Falköpings c,2024-07-17,862.0,1
Falköpings c,2024-07-19,862.0,1
Falköpings c,2024-07-22,862.0,1
Falköpings c,2024-07-24,862.0,1
Falköpings c,2024-07-26,862.0,1
Falköpings c,2024-07-31,862.0,1
Falköpings c,2024-08-16,862.0,1
Falköpings c,2024-08-19,862.0,1
Falköpings c,2024-08-21,862.0,1
Falköpings c,2024-08-28,862.0,1
Falköpings c,2024-08-30,862.0,1
Falköpings c,2024-09-02,862.0,1
Falköpings c,2024-09-03,862.0,1
Falköpings c,2024-09-04,862.0,1
Falköpings c,2024-09-05,862.0,1
Falköpings c,2024-09-06,862.0,1
Falköpings c,2024-09-11,862.0,1
Falköpings c,2024-09-17,862.0,1
Falköpings c,2024-09-18,862.0,1
Falköpings c,2024-09-19,862.0,1
Falköpings c,2024-09-24,862.0,1
Falköpings c,2024-09-25,862.0,1
Falköpings c,2024-09-26,862.0,1
Falköpings c,2024-09-27,862.0,1
Falköpings c,2024-10-02,862.0,1
Falköpings c,2024-10-03,862.0,1
Falköpings c,2024-10-08,862.0,1
Falköpings c,2024-10-09,862.0,1
Falköpings c,2024-10-10,858.0,1
Falköpings c,2024-10-11,862.0,1
Falköpings c,2024-10-14,862.0,1
Falköpings c,2024-10-15,862.0,1
Falköpings c,2024-10-16,862.0,1
Falköpings c,2024-10-17,862.0,1
Falköpings c,2024-10-18,859.0,1
Falköpings c,2024-10-21,862.0,1
Falköpings c,2024-10-22,862.0,1
Falköpings c,2024-10-29,862.0,1
Falköpings c,2024-10-31,844.0,1
Falköpings c,2024-11-01,862.0,1
Falköpings c,2024-11-04,862.0,1
Falköpings c,2024-11-05,862.0,1
Falköpings c,2024-11-06,862.0,1
Falköpings c,2024-11-07,862.0,1
Falköpings c,2024-11-12,862.0,1
Falköpings c,2024-11-15,862.0,1
Falköpings c,2024-11-18,862.0,1
Falköpings c,2024-11-19,862.0,1
Falköpings c,2024-11-20,862.0,1
Falköpings c,2024-11-21,862.0,1
Falköpings c,2024-11-22,862.0,1
Falköpings c,2024-11-25,862.0,1
Falköpings c,2024-11-26,862.0,1
Falköpings c,2024-11-27,862.0,1
Falköpings c,2024-11-28,862.0,1
Falköpings c,2024-11-29,862.0,1
Falköpings c,2024-12-02,862.0,1
Falköpings c,2024-12-03,862.0,1
Falköpings c,2024-12-04,862.0,1
Falköpings c,2024-12-05,862.0,1
Falköpings c,2024-12-06,862.0,1
Falköpings c,2024-12-09,862.0,1
Falköpings c,2024-12-10,862.0,1
Falköpings c,2024-12-12,862.0,1
Falköpings c,2024-12-13,862.0,1
Hallsbergs pbg,2024-01-02,630.0,2
Hallsbergs pbg,2024-01-04,630.0,2
Hallsbergs pbg,2024-01-05,630.0,2
Hallsbergs pbg,2024-01-08,630.0,2
Hallsbergs pbg,2024-01-12,630.0,2
Hallsbergs pbg,2024-01-15,630.0,2
Hallsbergs pbg,2024-01-16,630.0,2
Hallsbergs pbg,2024-01-18,630.0,2
Hallsbergs pbg,2024-01-19,630.0,2
Hallsbergs pbg,2024-01-25,630.0,2
Hallsbergs pbg,2024-01-26,630.0,2
Hallsbergs pbg,2024-01-29,630.0,2
Hallsbergs pbg,2024-01-30,630.0,2
Hallsbergs pbg,2024-02-01,630.0,2
Hallsbergs pbg,2024-02-02,630.0,2
Hallsbergs pbg,2024-02-05,630.0,2
Hallsbergs pbg,2024-02-08,630.0,2
Hallsbergs pbg,2024-02-09,630.0,2
Hallsbergs pbg,2024-02-12,630.0,2
Hallsbergs pbg,2024-02-13,630.0,2
Hallsbergs pbg,2024-02-15,755.0,0
Hallsbergs pbg,2024-02-19,630.0,2
Hallsbergs pbg,2024-02-22,630.0,2
Hallsbergs pbg,2024-02-23,630.0,2
Hallsbergs pbg,2024-02-26,630.0,2
Hallsbergs pbg,2024-02-29,480.0,5
Hallsbergs pbg,2024-03-01,630.0,2
Hallsbergs pbg,2024-03-04,630.0,2
Hallsbergs pbg,2024-03-08,630.0,2
Hallsbergs pbg,2024-03-11,666.0,2
Hallsbergs pbg,2024-03-14,630.0,2
Hallsbergs pbg,2024-03-15,630.0,2
Hallsbergs pbg,2024-03-18,630.0,2
Hallsbergs pbg,2024-03-21,630.0,2
Hallsbergs pbg,2024-03-22,630.0,2
Hallsbergs pbg,2024-03-25,630.0,2
Hallsbergs pbg,2024-03-26,630.0,2
Hallsbergs pbg,2024-03-27,630.0,2
Hallsbergs pbg,2024-04-02,628.0,2
Hallsbergs pbg,2024-04-05,628.0,2
Hallsbergs pbg,2024-04-08,628.0,2
Hallsbergs pbg,2024-04-11,628.0,2
Hallsbergs pbg,2024-04-12,628.0,2
Hallsbergs pbg,2024-04-15,628.0,2
Hallsbergs pbg,2024-04-16,628.0,2
Hallsbergs pbg,2024-04-18,628.0,2
Hallsbergs pbg,2024-04-24,628.0,2
Hallsbergs pbg,2024-04-25,628.0,2
Hallsbergs pbg,2024-04-26,628.0,2
Hallsbergs pbg,2024-04-29,628.0,2
Hallsbergs pbg,2024-05-03,628.0,2
Hallsbergs pbg,2024-05-06,608.0,3
Hallsbergs pbg,2024-05-07,608.0,3
Hallsbergs pbg,2024-05-08,608.0,3
Hallsbergs pbg,2024-05-10,608.0,3
Hallsbergs pbg,2024-05-14,628.0,2
Hallsbergs pbg,2024-05-15,628.0,2
Hallsbergs pbg,2024-05-16,628.0,2
Hallsbergs pbg,2024-05-17,628.0,2
Hallsbergs pbg,2024-05-22,628.0,2
Hallsbergs pbg,2024-05-23,628.0,2
Hallsbergs pbg,2024-05-24,628.0,2
Hallsbergs pbg,2024-05-27,628.0,2
Hallsbergs pbg,2024-05-28,628.0,2
Hallsbergs pbg,2024-05-29,628.0,2
Hallsbergs pbg,2024-05-30,628.0,2
Hallsbergs pbg,2024-05-31,628.0,2
Hallsbergs pbg,2024-06-03,628.0,2
Hallsbergs pbg,2024-06-04,628.0,2
Hallsbergs pbg,2024-06-05,628.0,2
Hallsbergs pbg,2024-06-07,628.0,2
Hallsbergs pbg,2024-06-10,628.0,2
Hallsbergs pbg,2024-06-12,628.0,2
Hallsbergs pbg,2024-06-13,628.0,2
Hallsbergs pbg,2024-06-14,628.0,2
Hallsbergs pbg,2024-06-17,628.0,2
Hallsbergs pbg,2024-06-18,628.0,2
Hallsbergs pbg,2024-06-19,628.0,2
Hallsbergs pbg,2024-06-20,628.0,2
Hallsbergs pbg,2024-06-24,628.0,2
Hallsbergs pbg,2024-06-25,628.0,2
Hallsbergs pbg,2024-07-02,628.0,2
Hallsbergs pbg,2024-07-03,628.0,2
Hallsbergs pbg,2024-07-08,628.0,2
Hallsbergs pbg,2024-07-09,628.0,2
Hallsbergs pbg,2024-07-10,628.0,2
Hallsbergs pbg,2024-07-11,628.0,2
Hallsbergs pbg,2024-07-12,628.0,2
Hallsbergs pbg,2024-07-15,628.0,2
Hallsbergs pbg,2024-07-17,628.0,2
Hallsbergs pbg,2024-07-19,628.0,2
Hallsbergs pbg,2024-07-22,628.0,2
Hallsbergs pbg,2024-07-24,628.0,2
Hallsbergs pbg,2024-07-31,628.0,2
Hallsbergs pbg,2024-08-16,628.0,2
Hallsbergs pbg,2024-08-19,628.0,2
Hallsbergs pbg,2024-08-21,628.0,2
Hallsbergs pbg,2024-08-28,628.0,2
Hallsbergs pbg,2024-08-30,628.0,2
Hallsbergs pbg,2024-09-02,628.0,2
Hallsbergs pbg,2024-09-03,628.0,2
Hallsbergs pbg,2024-09-04,628.0,2
Hallsbergs pbg,2024-09-05,628.0,2
Hallsbergs pbg,2024-09-06,628.0,2
Hallsbergs pbg,2024-09-11,628.0,2
Hallsbergs pbg,2024-09-12,626.0,2
Hallsbergs pbg,2024-09-16,621.0,3
Hallsbergs pbg,2024-09-17,628.0,2
Hallsbergs pbg,2024-09-18,628.0,2
Hallsbergs pbg,2024-09-19,628.0,2
Hallsbergs pbg,2024-09-24,628.0,2
Hallsbergs pbg,2024-09-25,628.0,2
Hallsbergs pbg,2024-09-26,628.0,2
Hallsbergs pbg,2024-09-27,628.0,2
Hallsbergs pbg,2024-10-02,628.0,2
Hallsbergs pbg,2024-10-03,628.0,2
Hallsbergs pbg,2024-10-08,628.0,2
Hallsbergs pbg,2024-10-09,628.0,2
Hallsbergs pbg,2024-10-10,626.0,2
Hallsbergs pbg,2024-10-11,628.0,2
Hallsbergs pbg,2024-10-14,628.0,2
Hallsbergs pbg,2024-10-15,628.0,2
Hallsbergs pbg,2024-10-16,628.0,2
Hallsbergs pbg,2024-10-17,628.0,2
Hallsbergs pbg,2024-10-18,625.0,2
Hallsbergs pbg,2024-10-21,628.0,2
Hallsbergs pbg,2024-10-22,628.0,2
Hallsbergs pbg,2024-10-28,621.0,3
Hallsbergs pbg,2024-10-29,628.0,2
Hallsbergs pbg,2024-10-31,611.0,3
Hallsbergs pbg,2024-11-01,628.0,2
Hallsbergs pbg,2024-11-04,628.0,2
Hallsbergs pbg,2024-11-05,628.0,2
Hallsbergs pbg,2024-11-06,628.0,2
Hallsbergs pbg,2024-11-07,628.0,2
Hallsbergs pbg,2024-11-12,628.0,2
Hallsbergs pbg,2024-11-15,628.0,2
Hallsbergs pbg,2024-11-18,628.0,2
Hallsbergs pbg,2024-11-19,628.0,2
Hallsbergs pbg,2024-11-20,628.0,2
Hallsbergs pbg,2024-11-21,628.0,2
Hallsbergs pbg,2024-11-22,628.0,2
Hallsbergs pbg,2024-11-25,628.0,2
Hallsbergs pbg,2024-11-26,628.0,2
Hallsbergs pbg,2024-11-27,628.0,2
Hallsbergs pbg,2024-11-28,628.0,2
Hallsbergs pbg,2024-11-29,628.0,2
Hallsbergs pbg,2024-12-02,628.0,2
Hallsbergs pbg,2024-12-03,628.0,2
Hallsbergs pbg,2024-12-04,628.0,2
Hallsbergs pbg,2024-12-05,628.0,2
Hallsbergs pbg,2024-12-06,628.0,2
Hallsbergs pbg,2024-12-09,628.0,2
Hallsbergs pbg,2024-12-10,628.0,2
Hallsbergs pbg,2024-12-12,628.0,2
Hallsbergs pbg,2024-12-13,628.0,2
Skebokvarn,2024-01-02,494.0,4
Skebokvarn,2024-01-04,494.0,4
Skebokvarn,2024-01-05,494.0,4
Skebokvarn,2024-01-08,494.0,4
Skebokvarn,2024-01-12,494.0,4
Skebokvarn,2024-01-15,494.0,4
Skebokvarn,2024-01-16,494.0,4
Skebokvarn,2024-01-18,494.0,4
Skebokvarn,2024-01-19,494.0,4
Skebokvarn,2024-01-25,494.0,4
Skebokvarn,2024-01-26,494.0,4
Skebokvarn,2024-01-29,494.0,4
Skebokvarn,2024-01-30,494.0,4
