taglank,tagnr,direction,operator,origin,destination,skandia_time,sodertalje_time,num_stations,stations_list,journey_date,source_month,journey_duration
202401028312,59411,FROM_SODERTALJE,Green Cargo AB,Södertälje hamn,Göteborg Skandiahamnen,2024-01-02 17:36:00,2024-01-02 11:18:00,72,Södertälje hamn|Södertälje syd undre|Bränninge|Järna|Mölnbo|Gnesta|Kolke|Björnlunda|Stjärnhov|Nyckelsjön|Sparreholm|Skebokvarn|Skebokvarn|Flen|Sköldinge|Stolpstugan|Katrineholms c|Baggetorp|Vingåker|Högsjö|Kilsmo|Pålsboda|Hallsbergs pbg|Hallsbergs pbg|Hallsbergs rangerbangård|Hallsbergs rangerbangård|Tälle|Östansjö|Vretstorp|Linddalen|Laxå|Finnerödja|Gårdsjö|Älgarås|Slätte|Töreboda|Moholm|Väring|Skövde c|Regumatorp|Stenstorp|Stenstorp|Falköpings norra|Falköpings c|Falköpings c|Floby|Källeryd|Herrljunga central|Herrljunga västra|Vårgårda|Algutsgården|Alingsås|Bryngenäs|Västra Bodarna|Norsesund|Norsesund västra|Floda|Stenkullen|Stenkullen|Lerum|Aspedalen|Aspen|Jonsered östra|Jonsered Västra|Partille|Sävedalen|Göteborg Sävenäs|Olskroken|Göteborg Kville|Göteborg Lindholmen|Pölsebo|Göteborg Skandiahamnen,2024-01-02,,0 days 06:18:00
202401048312,59411,FROM_SODERTALJE,Green Cargo AB,Södertälje hamn,Göteborg Skandiahamnen,2024-01-04 17:36:00,2024-01-04 11:18:00,71,Södertälje hamn|Södertälje syd undre|Bränninge|Järna|Mölnbo|Gnesta|Kolke|Björnlunda|Stjärnhov|Nyckelsjön|Sparreholm|Skebokvarn|Skebokvarn|Flen|Sköldinge|Stolpstugan|Katrineholms c|Baggetorp|Vingåker|Högsjö|Kilsmo|Pålsboda|Hallsbergs pbg|Hallsbergs pbg|Hallsbergs rangerbangård|Hallsbergs rangerbangård|Tälle|Östansjö|Vretstorp|Linddalen|Laxå|Finnerödja|Gårdsjö|Älgarås|Slätte|Töreboda|Moholm|Väring|Skövde c|Regumatorp|Stenstorp|Stenstorp|Falköpings norra|Falköpings c|Falköpings c|Floby|Källeryd|Herrljunga central|Herrljunga västra|Vårgårda|Algutsgården|Alingsås|Bryngenäs|Västra Bodarna|Norsesund|Norsesund västra|Floda|Stenkullen|Lerum|Aspedalen|Aspen|Jonsered östra|Jonsered Västra|Partille|Sävedalen|Göteborg Sävenäs|Olskroken|Göteborg Kville|Göteborg Lindholmen|Pölsebo|Göteborg Skandiahamnen,2024-01-04,,0 days 06:18:00
202401058312,59411,FROM_SODERTALJE,Green Cargo AB,Södertälje hamn,Göteborg Skandiahamnen,2024-01-05 17:36:00,2024-01-05 11:18:00,71,Södertälje hamn|Södertälje syd undre|Bränninge|Järna|Mölnbo|Gnesta|Kolke|Björnlunda|Stjärnhov|Nyckelsjön|Sparreholm|Skebokvarn|Skebokvarn|Flen|Sköldinge|Stolpstugan|Katrineholms c|Baggetorp|Vingåker|Högsjö|Kilsmo|Pålsboda|Hallsbergs pbg|Hallsbergs pbg|Hallsbergs rangerbangård|Hallsbergs rangerbangård|Tälle|Östansjö|Vretstorp|Linddalen|Laxå|Finnerödja|Gårdsjö|Älgarås|Slätte|Töreboda|Moholm|Väring|Skövde c|Regumatorp|Stenstorp|Stenstorp|Falköpings norra|Falköpings c|Falköpings c|Floby|Källeryd|Herrljunga central|Herrljunga västra|Vårgårda|Algutsgården|Alingsås|Bryngenäs|Västra Bodarna|Norsesund|Norsesund västra|Floda|Stenkullen|Lerum|Aspedalen|Aspen|Jonsered östra|Jonsered Västra|Partille|Sävedalen|Göteborg Sävenäs|Olskroken|Göteborg Kville|Göteborg Lindholmen|Pölsebo|Göteborg Skandiahamnen,2024-01-05,,0 days 06:18:00
202401088312,59411,FROM_SODERTALJE,Green Cargo AB,Södertälje hamn,Göteborg Skandiahamnen,2024-01-08 17:36:00,2024-01-08 11:18:00,71,Södertälje hamn|Södertälje syd undre|Bränninge|Järna|Mölnbo|Gnesta|Kolke|Björnlunda|Stjärnhov|Nyckelsjön|Sparreholm|Skebokvarn|Skebokvarn|Flen|Sköldinge|Stolpstugan|Katrineholms c|Baggetorp|Vingåker|Högsjö|Kilsmo|Pålsboda|Hallsbergs pbg|Hallsbergs pbg|Hallsbergs rangerbangård|Hallsbergs rangerbangård|Tälle|Östansjö|Vretstorp|Linddalen|Laxå|Finnerödja|Gårdsjö|Älgarås|Slätte|Töreboda|Moholm|Väring|Skövde c|Regumatorp|Stenstorp|Stenstorp|Falköpings norra|Falköpings c|Falköpings c|Floby|Källeryd|Herrljunga central|Herrljunga västra|Vårgårda|Algutsgården|Alingsås|Bryngenäs|Västra Bodarna|Norsesund|Norsesund västra|Floda|Stenkullen|Lerum|Aspedalen|Aspen|Jonsered östra|Jonsered Västra|Partille|Sävedalen|Göteborg Sävenäs|Olskroken|Göteborg Kville|Göteborg Lindholmen|Pölsebo|Göteborg Skandiahamnen,2024-01-08,,0 days 06:18:00
202401128312,59411,FROM_SODERTALJE,Green Cargo AB,Södertälje hamn,Göteborg Skandiahamnen,2024-01-12 17:36:00,2024-01-12 11:18:00,71,Södertälje hamn|Södertälje syd undre|Bränninge|Järna|Mölnbo|Gnesta|Kolke|Björnlunda|Stjärnhov|Nyckelsjön|Sparreholm|Skebokvarn|Skebokvarn|Flen|Sköldinge|Stolpstugan|Katrineholms c|Baggetorp|Vingåker|Högsjö|Kilsmo|Pålsboda|Hallsbergs pbg|Hallsbergs pbg|Hallsbergs rangerbangård|Hallsbergs rangerbangård|Tälle|Östansjö|Vretstorp|Linddalen|Laxå|Finnerödja|Gårdsjö|Älgarås|Slätte|Töreboda|Moholm|Väring|Skövde c|Regumatorp|Stenstorp|Stenstorp|Falköpings norra|Falköpings c|Falköpings c|Floby|Källeryd|Herrljunga central|Herrljunga västra|Vårgårda|Algutsgården|Alingsås|Bryngenäs|Västra Bodarna|Norsesund|Norsesund västra|Floda|Stenkullen|Lerum|Aspedalen|Aspen|Jonsered östra|Jonsered Västra|Partille|Sävedalen|Göteborg Sävenäs|Olskroken|Göteborg Kville|Göteborg Lindholmen|Pölsebo|Göteborg Skandiahamnen,2024-01-12,,0 days 06:18:00
202401158312,59411,FROM_SODERTALJE,Green Cargo AB,Södertälje hamn,Göteborg Skandiahamnen,2024-01-15 17:36:00,2024-01-15 11:18:00,72,Södertälje hamn|Södertälje syd undre|Bränninge|Järna|Mölnbo|Gnesta|Kolke|Björnlunda|Stjärnhov|Nyckelsjön|Sparreholm|Skebokvarn|Skebokvarn|Flen|Sköldinge|Stolpstugan|Katrineholms c|Baggetorp|Vingåker|Högsjö|Kilsmo|Pålsboda|Hallsbergs pbg|Hallsbergs pbg|Hallsbergs rangerbangård|Hallsbergs rangerbangård|Tälle|Östansjö|Vretstorp|Linddalen|Laxå|Finnerödja|Gårdsjö|Älgarås|Slätte|Töreboda|Moholm|Väring|Skövde c|Regumatorp|Stenstorp|Stenstorp|Falköpings norra|Falköpings c|Falköpings c|Floby|Källeryd|Herrljunga central|Herrljunga västra|Vårgårda|Algutsgården|Alingsås|Bryngenäs|Västra Bodarna|Norsesund|Norsesund västra|Floda|Stenkullen|Stenkullen|Lerum|Aspedalen|Aspen|Jonsered östra|Jonsered Västra|Partille|Sävedalen|Göteborg Sävenäs|Olskroken|Göteborg Kville|Göteborg Lindholmen|Pölsebo|Göteborg Skandiahamnen,2024-01-15,,0 days 06:18:00
202401168312,59411,FROM_SODERTALJE,Green Cargo AB,Södertälje hamn,Göteborg Skandiahamnen,2024-01-16 17:36:00,2024-01-16 11:18:00,71,Södertälje hamn|Södertälje syd undre|Bränninge|Järna|Mölnbo|Gnesta|Kolke|Björnlunda|Stjärnhov|Nyckelsjön|Sparreholm|Skebokvarn|Skebokvarn|Flen|Sköldinge|Stolpstugan|Katrineholms c|Baggetorp|Vingåker|Högsjö|Kilsmo|Pålsboda|Hallsbergs pbg|Hallsbergs pbg|Hallsbergs rangerbangård|Hallsbergs rangerbangård|Tälle|Östansjö|Vretstorp|Linddalen|Laxå|Finnerödja|Gårdsjö|Älgarås|Slätte|Töreboda|Moholm|Väring|Skövde c|Regumatorp|Stenstorp|Stenstorp|Falköpings norra|Falköpings c|Falköpings c|Floby|Källeryd|Herrljunga central|Herrljunga västra|Vårgårda|Algutsgården|Alingsås|Bryngenäs|Västra Bodarna|Norsesund|Norsesund västra|Floda|Stenkullen|Lerum|Aspedalen|Aspen|Jonsered östra|Jonsered Västra|Partille|Sävedalen|Göteborg Sävenäs|Olskroken|Göteborg Kville|Göteborg Lindholmen|Pölsebo|Göteborg Skandiahamnen,2024-01-16,,0 days 06:18:00
202401188312,59411,FROM_SODERTALJE,Green Cargo AB,Södertälje hamn,Göteborg Skandiahamnen,2024-01-18 17:36:00,2024-01-18 11:18:00,71,Södertälje hamn|Södertälje syd undre|Bränninge|Järna|Mölnbo|Gnesta|Kolke|Björnlunda|Stjärnhov|Nyckelsjön|Sparreholm|Skebokvarn|Skebokvarn|Flen|Sköldinge|Stolpstugan|Katrineholms c|Baggetorp|Vingåker|Högsjö|Kilsmo|Pålsboda|Hallsbergs pbg|Hallsbergs pbg|Hallsbergs rangerbangård|Hallsbergs rangerbangård|Tälle|Östansjö|Vretstorp|Linddalen|Laxå|Finnerödja|Gårdsjö|Älgarås|Slätte|Töreboda|Moholm|Väring|Skövde c|Regumatorp|Stenstorp|Stenstorp|Falköpings norra|Falköpings c|Falköpings c|Floby|Källeryd|Herrljunga central|Herrljunga västra|Vårgårda|Algutsgården|Alingsås|Bryngenäs|Västra Bodarna|Norsesund|Norsesund västra|Floda|Stenkullen|Lerum|Aspedalen|Aspen|Jonsered östra|Jonsered Västra|Partille|Sävedalen|Göteborg Sävenäs|Olskroken|Göteborg Kville|Göteborg Lindholmen|Pölsebo|Göteborg Skandiahamnen,2024-01-18,,0 days 06:18:00
202401198312,59411,FROM_SODERTALJE,Green Cargo AB,Södertälje hamn,Göteborg Skandiahamnen,2024-01-19 17:36:00,2024-01-19 11:18:00,71,Södertälje hamn|Södertälje syd undre|Bränninge|Järna|Mölnbo|Gnesta|Kolke|Björnlunda|Stjärnhov|Nyckelsjön|Sparreholm|Skebokvarn|Skebokvarn|Flen|Sköldinge|Stolpstugan|Katrineholms c|Baggetorp|Vingåker|Högsjö|Kilsmo|Pålsboda|Hallsbergs pbg|Hallsbergs pbg|Hallsbergs rangerbangård|Hallsbergs rangerbangård|Tälle|Östansjö|Vretstorp|Linddalen|Laxå|Finnerödja|Gårdsjö|Älgarås|Slätte|Töreboda|Moholm|Väring|Skövde c|Regumatorp|Stenstorp|Stenstorp|Falköpings norra|Falköpings c|Falköpings c|Floby|Källeryd|Herrljunga central|Herrljunga västra|Vårgårda|Algutsgården|Alingsås|Bryngenäs|Västra Bodarna|Norsesund|Norsesund västra|Floda|Stenkullen|Lerum|Aspedalen|Aspen|Jonsered östra|Jonsered Västra|Partille|Sävedalen|Göteborg Sävenäs|Olskroken|Göteborg Kville|Göteborg Lindholmen|Pölsebo|Göteborg Skandiahamnen,2024-01-19,,0 days 06:18:00
202401258312,59411,FROM_SODERTALJE,Green Cargo AB,Södertälje hamn,Göteborg Skandiahamnen,2024-01-25 17:36:00,2024-01-25 11:18:00,71,Södertälje hamn|Södertälje syd undre|Bränninge|Järna|Mölnbo|Gnesta|Kolke|Björnlunda|Stjärnhov|Nyckelsjön|Sparreholm|Skebokvarn|Skebokvarn|Flen|Sköldinge|Stolpstugan|Katrineholms c|Baggetorp|Vingåker|Högsjö|Kilsmo|Pålsboda|Hallsbergs pbg|Hallsbergs pbg|Hallsbergs rangerbangård|Hallsbergs rangerbangård|Tälle|Östansjö|Vretstorp|Linddalen|Laxå|Finnerödja|Gårdsjö|Älgarås|Slätte|Töreboda|Moholm|Väring|Skövde c|Regumatorp|Stenstorp|Stenstorp|Falköpings norra|Falköpings c|Falköpings c|Floby|Källeryd|Herrljunga central|Herrljunga västra|Vårgårda|Algutsgården|Alingsås|Bryngenäs|Västra Bodarna|Norsesund|Norsesund västra|Floda|Stenkullen|Lerum|Aspedalen|Aspen|Jonsered östra|Jonsered Västra|Partille|Sävedalen|Göteborg Sävenäs|Olskroken|Göteborg Kville|Göteborg Lindholmen|Pölsebo|Göteborg Skandiahamnen,2024-01-25,,0 days 06:18:00
