taglank,direction,station_count,station_sequence,stations_list
202405218312,FROM_SODERTALJE,72,Södertälje hamn → Södertälje syd undre → Bränninge → Järna → Mölnbo → Gnesta → Kolke → Björnlunda → Stjärnhov → Nyckelsjön → Sparreholm → Skebokvarn → Skebokvarn → Flen → Sköldinge → Stolpstugan → Katrineholms c → Baggetorp → Vingåker → Högsjö → Kilsmo → Pålsboda → Hallsbergs pbg → Hallsbergs pbg → Hallsbergs rangerbangård → Hallsbergs rangerbangård → Tälle → Östansjö → Vretstorp → Linddalen → Laxå → Laxå → Finnerödja → Gårdsjö → Älgarås → Slätte → Töreboda → Moholm → Väring → Skövde c → Regumatorp → Stenstorp → Falköpings norra → Falköpings c → Falköpings c → Floby → Källeryd → Herrljunga central → Herrljunga västra → Vårgårda → Algutsgården → Alingsås → Bryngenäs → Västra Bodarna → Norsesund → Norsesund västra → Floda → Stenkullen → Lerum → Lerum → Aspedalen → Aspen → Jonsered Västra → Jonsered östra → Partille → Sävedalen → Göteborg Sävenäs → Olskroken → Göteborg Kville → Göteborg Lindholmen → Pölsebo → Göteborg Skandiahamnen,"['Södertälje hamn', 'Södertälje syd undre', 'Bränninge', 'Järna', 'Mölnbo', 'Gnesta', 'Kolke', 'Björnlunda', 'Stjärnhov', 'Nyckelsjön', 'Sparreholm', 'Skebokvarn', 'Skebokvarn', 'Flen', 'Sköldinge', 'Stolpstugan', 'Katrineholms c', 'Baggetorp', 'Vingåker', 'Högsjö', 'Kilsmo', 'Pålsboda', 'Hallsbergs pbg', 'Hallsbergs pbg', 'Hallsbergs rangerbangård', 'Hallsbergs rangerbangård', 'Tälle', 'Östansjö', 'Vretstorp', 'Linddalen', 'Laxå', 'Laxå', 'Finnerödja', 'Gårdsjö', 'Älgarås', 'Slätte', 'Töreboda', 'Moholm', 'Väring', 'Skövde c', 'Regumatorp', 'Stenstorp', 'Falköpings norra', 'Falköpings c', 'Falköpings c', 'Floby', 'Källeryd', 'Herrljunga central', 'Herrljunga västra', 'Vårgårda', 'Algutsgården', 'Alingsås', 'Bryngenäs', 'Västra Bodarna', 'Norsesund', 'Norsesund västra', 'Floda', 'Stenkullen', 'Lerum', 'Lerum', 'Aspedalen', 'Aspen', 'Jonsered Västra', 'Jonsered östra', 'Partille', 'Sävedalen', 'Göteborg Sävenäs', 'Olskroken', 'Göteborg Kville', 'Göteborg Lindholmen', 'Pölsebo', 'Göteborg Skandiahamnen']"
202409058312,FROM_SODERTALJE,72,Södertälje hamn → Södertälje syd undre → Bränninge → Järna → Mölnbo → Gnesta → Kolke → Björnlunda → Stjärnhov → Nyckelsjön → Sparreholm → Skebokvarn → Skebokvarn → Flen → Sköldinge → Stolpstugan → Katrineholms c → Baggetorp → Vingåker → Högsjö → Kilsmo → Pålsboda → Hallsbergs pbg → Hallsbergs pbg → Hallsbergs rangerbangård → Hallsbergs rangerbangård → Tälle → Östansjö → Vretstorp → Linddalen → Laxå → Laxå → Finnerödja → Gårdsjö → Älgarås → Slätte → Töreboda → Moholm → Väring → Skövde c → Regumatorp → Stenstorp → Falköpings norra → Falköpings c → Falköpings c → Floby → Källeryd → Herrljunga central → Herrljunga västra → Vårgårda → Algutsgården → Alingsås → Bryngenäs → Västra Bodarna → Norsesund → Norsesund västra → Floda → Stenkullen → Lerum → Lerum → Aspedalen → Aspen → Jonsered Västra → Jonsered östra → Partille → Sävedalen → Göteborg Sävenäs → Olskroken → Göteborg Kville → Göteborg Lindholmen → Pölsebo → Göteborg Skandiahamnen,"['Södertälje hamn', 'Södertälje syd undre', 'Bränninge', 'Järna', 'Mölnbo', 'Gnesta', 'Kolke', 'Björnlunda', 'Stjärnhov', 'Nyckelsjön', 'Sparreholm', 'Skebokvarn', 'Skebokvarn', 'Flen', 'Sköldinge', 'Stolpstugan', 'Katrineholms c', 'Baggetorp', 'Vingåker', 'Högsjö', 'Kilsmo', 'Pålsboda', 'Hallsbergs pbg', 'Hallsbergs pbg', 'Hallsbergs rangerbangård', 'Hallsbergs rangerbangård', 'Tälle', 'Östansjö', 'Vretstorp', 'Linddalen', 'Laxå', 'Laxå', 'Finnerödja', 'Gårdsjö', 'Älgarås', 'Slätte', 'Töreboda', 'Moholm', 'Väring', 'Skövde c', 'Regumatorp', 'Stenstorp', 'Falköpings norra', 'Falköpings c', 'Falköpings c', 'Floby', 'Källeryd', 'Herrljunga central', 'Herrljunga västra', 'Vårgårda', 'Algutsgården', 'Alingsås', 'Bryngenäs', 'Västra Bodarna', 'Norsesund', 'Norsesund västra', 'Floda', 'Stenkullen', 'Lerum', 'Lerum', 'Aspedalen', 'Aspen', 'Jonsered Västra', 'Jonsered östra', 'Partille', 'Sävedalen', 'Göteborg Sävenäs', 'Olskroken', 'Göteborg Kville', 'Göteborg Lindholmen', 'Pölsebo', 'Göteborg Skandiahamnen']"
202408208396,TO_SODERTALJE,68,Göteborg Skandiahamnen → Pölsebo → Göteborg Lindholmen → Göteborg Kville → Olskroken → Göteborg Sävenäs → Sävedalen → Partille → Jonsered Västra → Jonsered östra → Aspen → Aspedalen → Lerum → Stenkullen → Floda → Norsesund → Norsesund västra → Västra Bodarna → Bryngenäs → Alingsås → Algutsgården → Vårgårda → Herrljunga västra → Herrljunga central → Källeryd → Floby → Falköpings c → Falköpings c → Falköpings norra → Stenstorp → Regumatorp → Skövde c → Väring → Moholm → Töreboda → Slätte → Älgarås → Gårdsjö → Finnerödja → Laxå → Linddalen → Vretstorp → Östansjö → Tälle → Hallsbergs rangerbangård → Hallsbergs pbg → Hallsbergs pbg → Pålsboda → Kilsmo → Högsjö → Vingåker → Baggetorp → Katrineholms c → Stolpstugan → Sköldinge → Flen → Skebokvarn → Sparreholm → Nyckelsjön → Stjärnhov → Björnlunda → Kolke → Gnesta → Mölnbo → Järna → Bränninge → Södertälje syd undre → Södertälje hamn,"['Göteborg Skandiahamnen', 'Pölsebo', 'Göteborg Lindholmen', 'Göteborg Kville', 'Olskroken', 'Göteborg Sävenäs', 'Sävedalen', 'Partille', 'Jonsered Västra', 'Jonsered östra', 'Aspen', 'Aspedalen', 'Lerum', 'Stenkullen', 'Floda', 'Norsesund', 'Norsesund västra', 'Västra Bodarna', 'Bryngenäs', 'Alingsås', 'Algutsgården', 'Vårgårda', 'Herrljunga västra', 'Herrljunga central', 'Källeryd', 'Floby', 'Falköpings c', 'Falköpings c', 'Falköpings norra', 'Stenstorp', 'Regumatorp', 'Skövde c', 'Väring', 'Moholm', 'Töreboda', 'Slätte', 'Älgarås', 'Gårdsjö', 'Finnerödja', 'Laxå', 'Linddalen', 'Vretstorp', 'Östansjö', 'Tälle', 'Hallsbergs rangerbangård', 'Hallsbergs pbg', 'Hallsbergs pbg', 'Pålsboda', 'Kilsmo', 'Högsjö', 'Vingåker', 'Baggetorp', 'Katrineholms c', 'Stolpstugan', 'Sköldinge', 'Flen', 'Skebokvarn', 'Sparreholm', 'Nyckelsjön', 'Stjärnhov', 'Björnlunda', 'Kolke', 'Gnesta', 'Mölnbo', 'Järna', 'Bränninge', 'Södertälje syd undre', 'Södertälje hamn']"
202412048396,TO_SODERTALJE,68,Göteborg Skandiahamnen → Pölsebo → Göteborg Lindholmen → Göteborg Kville → Olskroken → Göteborg Sävenäs → Sävedalen → Partille → Jonsered Västra → Jonsered östra → Aspen → Aspedalen → Lerum → Stenkullen → Floda → Norsesund → Norsesund västra → Västra Bodarna → Bryngenäs → Alingsås → Algutsgården → Vårgårda → Herrljunga västra → Herrljunga central → Källeryd → Floby → Falköpings c → Falköpings c → Falköpings norra → Stenstorp → Regumatorp → Skövde c → Väring → Moholm → Töreboda → Slätte → Älgarås → Gårdsjö → Finnerödja → Laxå → Linddalen → Vretstorp → Östansjö → Tälle → Hallsbergs rangerbangård → Hallsbergs pbg → Hallsbergs pbg → Pålsboda → Kilsmo → Högsjö → Vingåker → Baggetorp → Katrineholms c → Stolpstugan → Sköldinge → Flen → Skebokvarn → Sparreholm → Nyckelsjön → Stjärnhov → Björnlunda → Kolke → Gnesta → Mölnbo → Järna → Bränninge → Södertälje syd undre → Södertälje hamn,"['Göteborg Skandiahamnen', 'Pölsebo', 'Göteborg Lindholmen', 'Göteborg Kville', 'Olskroken', 'Göteborg Sävenäs', 'Sävedalen', 'Partille', 'Jonsered Västra', 'Jonsered östra', 'Aspen', 'Aspedalen', 'Lerum', 'Stenkullen', 'Floda', 'Norsesund', 'Norsesund västra', 'Västra Bodarna', 'Bryngenäs', 'Alingsås', 'Algutsgården', 'Vårgårda', 'Herrljunga västra', 'Herrljunga central', 'Källeryd', 'Floby', 'Falköpings c', 'Falköpings c', 'Falköpings norra', 'Stenstorp', 'Regumatorp', 'Skövde c', 'Väring', 'Moholm', 'Töreboda', 'Slätte', 'Älgarås', 'Gårdsjö', 'Finnerödja', 'Laxå', 'Linddalen', 'Vretstorp', 'Östansjö', 'Tälle', 'Hallsbergs rangerbangård', 'Hallsbergs pbg', 'Hallsbergs pbg', 'Pålsboda', 'Kilsmo', 'Högsjö', 'Vingåker', 'Baggetorp', 'Katrineholms c', 'Stolpstugan', 'Sköldinge', 'Flen', 'Skebokvarn', 'Sparreholm', 'Nyckelsjön', 'Stjärnhov', 'Björnlunda', 'Kolke', 'Gnesta', 'Mölnbo', 'Järna', 'Bränninge', 'Södertälje syd undre', 'Södertälje hamn']"
202404108312,FROM_SODERTALJE,72,Södertälje hamn → Södertälje syd undre → Bränninge → Järna → Mölnbo → Gnesta → Kolke → Björnlunda → Stjärnhov → Nyckelsjön → Sparreholm → Skebokvarn → Skebokvarn → Flen → Sköldinge → Stolpstugan → Katrineholms c → Baggetorp → Vingåker → Högsjö → Kilsmo → Pålsboda → Hallsbergs pbg → Hallsbergs pbg → Hallsbergs rangerbangård → Hallsbergs rangerbangård → Tälle → Östansjö → Vretstorp → Linddalen → Laxå → Laxå → Finnerödja → Gårdsjö → Älgarås → Slätte → Töreboda → Moholm → Väring → Skövde c → Regumatorp → Stenstorp → Falköpings norra → Falköpings c → Falköpings c → Floby → Källeryd → Herrljunga central → Herrljunga västra → Vårgårda → Algutsgården → Alingsås → Bryngenäs → Västra Bodarna → Norsesund → Norsesund västra → Floda → Stenkullen → Lerum → Lerum → Aspedalen → Aspen → Jonsered Västra → Jonsered östra → Partille → Sävedalen → Göteborg Sävenäs → Olskroken → Göteborg Kville → Göteborg Lindholmen → Pölsebo → Göteborg Skandiahamnen,"['Södertälje hamn', 'Södertälje syd undre', 'Bränninge', 'Järna', 'Mölnbo', 'Gnesta', 'Kolke', 'Björnlunda', 'Stjärnhov', 'Nyckelsjön', 'Sparreholm', 'Skebokvarn', 'Skebokvarn', 'Flen', 'Sköldinge', 'Stolpstugan', 'Katrineholms c', 'Baggetorp', 'Vingåker', 'Högsjö', 'Kilsmo', 'Pålsboda', 'Hallsbergs pbg', 'Hallsbergs pbg', 'Hallsbergs rangerbangård', 'Hallsbergs rangerbangård', 'Tälle', 'Östansjö', 'Vretstorp', 'Linddalen', 'Laxå', 'Laxå', 'Finnerödja', 'Gårdsjö', 'Älgarås', 'Slätte', 'Töreboda', 'Moholm', 'Väring', 'Skövde c', 'Regumatorp', 'Stenstorp', 'Falköpings norra', 'Falköpings c', 'Falköpings c', 'Floby', 'Källeryd', 'Herrljunga central', 'Herrljunga västra', 'Vårgårda', 'Algutsgården', 'Alingsås', 'Bryngenäs', 'Västra Bodarna', 'Norsesund', 'Norsesund västra', 'Floda', 'Stenkullen', 'Lerum', 'Lerum', 'Aspedalen', 'Aspen', 'Jonsered Västra', 'Jonsered östra', 'Partille', 'Sävedalen', 'Göteborg Sävenäs', 'Olskroken', 'Göteborg Kville', 'Göteborg Lindholmen', 'Pölsebo', 'Göteborg Skandiahamnen']"
202403258396,TO_SODERTALJE,69,Göteborg Skandiahamnen → Pölsebo → Göteborg Lindholmen → Göteborg Kville → Olskroken → Göteborg Sävenäs → Sävedalen → Partille → Jonsered Västra → Jonsered östra → Aspen → Aspedalen → Lerum → Stenkullen → Stenkullen → Floda → Norsesund västra → Norsesund → Västra Bodarna → Bryngenäs → Alingsås → Algutsgården → Vårgårda → Herrljunga västra → Herrljunga central → Källeryd → Floby → Falköpings c → Falköpings c → Falköpings norra → Stenstorp → Regumatorp → Skövde c → Väring → Moholm → Töreboda → Slätte → Älgarås → Gårdsjö → Finnerödja → Laxå → Linddalen → Vretstorp → Östansjö → Tälle → Hallsbergs rangerbangård → Hallsbergs pbg → Hallsbergs pbg → Pålsboda → Kilsmo → Högsjö → Vingåker → Baggetorp → Katrineholms c → Stolpstugan → Sköldinge → Flen → Skebokvarn → Sparreholm → Nyckelsjön → Stjärnhov → Björnlunda → Kolke → Gnesta → Mölnbo → Järna → Bränninge → Södertälje syd undre → Södertälje hamn,"['Göteborg Skandiahamnen', 'Pölsebo', 'Göteborg Lindholmen', 'Göteborg Kville', 'Olskroken', 'Göteborg Sävenäs', 'Sävedalen', 'Partille', 'Jonsered Västra', 'Jonsered östra', 'Aspen', 'Aspedalen', 'Lerum', 'Stenkullen', 'Stenkullen', 'Floda', 'Norsesund västra', 'Norsesund', 'Västra Bodarna', 'Bryngenäs', 'Alingsås', 'Algutsgården', 'Vårgårda', 'Herrljunga västra', 'Herrljunga central', 'Källeryd', 'Floby', 'Falköpings c', 'Falköpings c', 'Falköpings norra', 'Stenstorp', 'Regumatorp', 'Skövde c', 'Väring', 'Moholm', 'Töreboda', 'Slätte', 'Älgarås', 'Gårdsjö', 'Finnerödja', 'Laxå', 'Linddalen', 'Vretstorp', 'Östansjö', 'Tälle', 'Hallsbergs rangerbangård', 'Hallsbergs pbg', 'Hallsbergs pbg', 'Pålsboda', 'Kilsmo', 'Högsjö', 'Vingåker', 'Baggetorp', 'Katrineholms c', 'Stolpstugan', 'Sköldinge', 'Flen', 'Skebokvarn', 'Sparreholm', 'Nyckelsjön', 'Stjärnhov', 'Björnlunda', 'Kolke', 'Gnesta', 'Mölnbo', 'Järna', 'Bränninge', 'Södertälje syd undre', 'Södertälje hamn']"
202407098396,TO_SODERTALJE,67,Göteborg Skandiahamnen → Pölsebo → Göteborg Lindholmen → Göteborg Kville → Göteborg Sävenäs → Sävedalen → Partille → Jonsered Västra → Jonsered östra → Aspen → Aspedalen → Lerum → Stenkullen → Floda → Norsesund västra → Norsesund → Västra Bodarna → Bryngenäs → Alingsås → Algutsgården → Vårgårda → Herrljunga västra → Herrljunga central → Källeryd → Floby → Falköpings c → Falköpings c → Falköpings norra → Stenstorp → Regumatorp → Skövde c → Väring → Moholm → Töreboda → Slätte → Älgarås → Gårdsjö → Finnerödja → Laxå → Linddalen → Vretstorp → Östansjö → Tälle → Hallsbergs rangerbangård → Hallsbergs pbg → Hallsbergs pbg → Pålsboda → Kilsmo → Högsjö → Vingåker → Baggetorp → Katrineholms c → Stolpstugan → Sköldinge → Flen → Skebokvarn → Sparreholm → Nyckelsjön → Stjärnhov → Björnlunda → Kolke → Gnesta → Mölnbo → Järna → Bränninge → Södertälje syd undre → Södertälje hamn,"['Göteborg Skandiahamnen', 'Pölsebo', 'Göteborg Lindholmen', 'Göteborg Kville', 'Göteborg Sävenäs', 'Sävedalen', 'Partille', 'Jonsered Västra', 'Jonsered östra', 'Aspen', 'Aspedalen', 'Lerum', 'Stenkullen', 'Floda', 'Norsesund västra', 'Norsesund', 'Västra Bodarna', 'Bryngenäs', 'Alingsås', 'Algutsgården', 'Vårgårda', 'Herrljunga västra', 'Herrljunga central', 'Källeryd', 'Floby', 'Falköpings c', 'Falköpings c', 'Falköpings norra', 'Stenstorp', 'Regumatorp', 'Skövde c', 'Väring', 'Moholm', 'Töreboda', 'Slätte', 'Älgarås', 'Gårdsjö', 'Finnerödja', 'Laxå', 'Linddalen', 'Vretstorp', 'Östansjö', 'Tälle', 'Hallsbergs rangerbangård', 'Hallsbergs pbg', 'Hallsbergs pbg', 'Pålsboda', 'Kilsmo', 'Högsjö', 'Vingåker', 'Baggetorp', 'Katrineholms c', 'Stolpstugan', 'Sköldinge', 'Flen', 'Skebokvarn', 'Sparreholm', 'Nyckelsjön', 'Stjärnhov', 'Björnlunda', 'Kolke', 'Gnesta', 'Mölnbo', 'Järna', 'Bränninge', 'Södertälje syd undre', 'Södertälje hamn']"
202402148396,TO_SODERTALJE,68,Göteborg Skandiahamnen → Pölsebo → Göteborg Lindholmen → Göteborg Kville → Göteborg Sävenäs → Sävedalen → Partille → Jonsered Västra → Jonsered östra → Aspen → Aspedalen → Lerum → Stenkullen → Floda → Norsesund västra → Norsesund → Västra Bodarna → Bryngenäs → Alingsås → Algutsgården → Vårgårda → Herrljunga västra → Herrljunga central → Källeryd → Floby → Floby → Falköpings c → Falköpings c → Falköpings norra → Stenstorp → Regumatorp → Skövde c → Väring → Moholm → Töreboda → Slätte → Älgarås → Gårdsjö → Finnerödja → Laxå → Linddalen → Vretstorp → Östansjö → Tälle → Hallsbergs rangerbangård → Hallsbergs pbg → Hallsbergs pbg → Pålsboda → Kilsmo → Högsjö → Vingåker → Baggetorp → Katrineholms c → Stolpstugan → Sköldinge → Flen → Skebokvarn → Sparreholm → Nyckelsjön → Stjärnhov → Björnlunda → Kolke → Gnesta → Mölnbo → Järna → Bränninge → Södertälje syd undre → Södertälje hamn,"['Göteborg Skandiahamnen', 'Pölsebo', 'Göteborg Lindholmen', 'Göteborg Kville', 'Göteborg Sävenäs', 'Sävedalen', 'Partille', 'Jonsered Västra', 'Jonsered östra', 'Aspen', 'Aspedalen', 'Lerum', 'Stenkullen', 'Floda', 'Norsesund västra', 'Norsesund', 'Västra Bodarna', 'Bryngenäs', 'Alingsås', 'Algutsgården', 'Vårgårda', 'Herrljunga västra', 'Herrljunga central', 'Källeryd', 'Floby', 'Floby', 'Falköpings c', 'Falköpings c', 'Falköpings norra', 'Stenstorp', 'Regumatorp', 'Skövde c', 'Väring', 'Moholm', 'Töreboda', 'Slätte', 'Älgarås', 'Gårdsjö', 'Finnerödja', 'Laxå', 'Linddalen', 'Vretstorp', 'Östansjö', 'Tälle', 'Hallsbergs rangerbangård', 'Hallsbergs pbg', 'Hallsbergs pbg', 'Pålsboda', 'Kilsmo', 'Högsjö', 'Vingåker', 'Baggetorp', 'Katrineholms c', 'Stolpstugan', 'Sköldinge', 'Flen', 'Skebokvarn', 'Sparreholm', 'Nyckelsjön', 'Stjärnhov', 'Björnlunda', 'Kolke', 'Gnesta', 'Mölnbo', 'Järna', 'Bränninge', 'Södertälje syd undre', 'Södertälje hamn']"
202408288312,FROM_SODERTALJE,72,Södertälje hamn → Södertälje syd undre → Bränninge → Järna → Mölnbo → Gnesta → Kolke → Björnlunda → Stjärnhov → Nyckelsjön → Sparreholm → Skebokvarn → Skebokvarn → Flen → Sköldinge → Stolpstugan → Katrineholms c → Baggetorp → Vingåker → Högsjö → Kilsmo → Pålsboda → Hallsbergs pbg → Hallsbergs pbg → Hallsbergs rangerbangård → Hallsbergs rangerbangård → Tälle → Östansjö → Vretstorp → Linddalen → Laxå → Laxå → Finnerödja → Gårdsjö → Älgarås → Slätte → Töreboda → Moholm → Väring → Skövde c → Regumatorp → Stenstorp → Falköpings norra → Falköpings c → Falköpings c → Floby → Källeryd → Herrljunga central → Herrljunga västra → Vårgårda → Algutsgården → Alingsås → Bryngenäs → Västra Bodarna → Norsesund → Norsesund västra → Floda → Stenkullen → Lerum → Lerum → Aspedalen → Aspen → Jonsered Västra → Jonsered östra → Partille → Sävedalen → Göteborg Sävenäs → Olskroken → Göteborg Kville → Göteborg Lindholmen → Pölsebo → Göteborg Skandiahamnen,"['Södertälje hamn', 'Södertälje syd undre', 'Bränninge', 'Järna', 'Mölnbo', 'Gnesta', 'Kolke', 'Björnlunda', 'Stjärnhov', 'Nyckelsjön', 'Sparreholm', 'Skebokvarn', 'Skebokvarn', 'Flen', 'Sköldinge', 'Stolpstugan', 'Katrineholms c', 'Baggetorp', 'Vingåker', 'Högsjö', 'Kilsmo', 'Pålsboda', 'Hallsbergs pbg', 'Hallsbergs pbg', 'Hallsbergs rangerbangård', 'Hallsbergs rangerbangård', 'Tälle', 'Östansjö', 'Vretstorp', 'Linddalen', 'Laxå', 'Laxå', 'Finnerödja', 'Gårdsjö', 'Älgarås', 'Slätte', 'Töreboda', 'Moholm', 'Väring', 'Skövde c', 'Regumatorp', 'Stenstorp', 'Falköpings norra', 'Falköpings c', 'Falköpings c', 'Floby', 'Källeryd', 'Herrljunga central', 'Herrljunga västra', 'Vårgårda', 'Algutsgården', 'Alingsås', 'Bryngenäs', 'Västra Bodarna', 'Norsesund', 'Norsesund västra', 'Floda', 'Stenkullen', 'Lerum', 'Lerum', 'Aspedalen', 'Aspen', 'Jonsered Västra', 'Jonsered östra', 'Partille', 'Sävedalen', 'Göteborg Sävenäs', 'Olskroken', 'Göteborg Kville', 'Göteborg Lindholmen', 'Pölsebo', 'Göteborg Skandiahamnen']"
202412128312,FROM_SODERTALJE,72,Södertälje hamn → Södertälje syd undre → Bränninge → Järna → Mölnbo → Gnesta → Kolke → Björnlunda → Stjärnhov → Nyckelsjön → Sparreholm → Skebokvarn → Skebokvarn → Flen → Sköldinge → Stolpstugan → Katrineholms c → Baggetorp → Vingåker → Högsjö → Kilsmo → Pålsboda → Hallsbergs pbg → Hallsbergs pbg → Hallsbergs rangerbangård → Hallsbergs rangerbangård → Tälle → Östansjö → Vretstorp → Linddalen → Laxå → Laxå → Finnerödja → Gårdsjö → Älgarås → Slätte → Töreboda → Moholm → Väring → Skövde c → Regumatorp → Stenstorp → Falköpings norra → Falköpings c → Falköpings c → Floby → Källeryd → Herrljunga central → Herrljunga västra → Vårgårda → Algutsgården → Alingsås → Bryngenäs → Västra Bodarna → Norsesund → Norsesund västra → Floda → Stenkullen → Lerum → Lerum → Aspedalen → Aspen → Jonsered Västra → Jonsered östra → Partille → Sävedalen → Göteborg Sävenäs → Olskroken → Göteborg Kville → Göteborg Lindholmen → Pölsebo → Göteborg Skandiahamnen,"['Södertälje hamn', 'Södertälje syd undre', 'Bränninge', 'Järna', 'Mölnbo', 'Gnesta', 'Kolke', 'Björnlunda', 'Stjärnhov', 'Nyckelsjön', 'Sparreholm', 'Skebokvarn', 'Skebokvarn', 'Flen', 'Sköldinge', 'Stolpstugan', 'Katrineholms c', 'Baggetorp', 'Vingåker', 'Högsjö', 'Kilsmo', 'Pålsboda', 'Hallsbergs pbg', 'Hallsbergs pbg', 'Hallsbergs rangerbangård', 'Hallsbergs rangerbangård', 'Tälle', 'Östansjö', 'Vretstorp', 'Linddalen', 'Laxå', 'Laxå', 'Finnerödja', 'Gårdsjö', 'Älgarås', 'Slätte', 'Töreboda', 'Moholm', 'Väring', 'Skövde c', 'Regumatorp', 'Stenstorp', 'Falköpings norra', 'Falköpings c', 'Falköpings c', 'Floby', 'Källeryd', 'Herrljunga central', 'Herrljunga västra', 'Vårgårda', 'Algutsgården', 'Alingsås', 'Bryngenäs', 'Västra Bodarna', 'Norsesund', 'Norsesund västra', 'Floda', 'Stenkullen', 'Lerum', 'Lerum', 'Aspedalen', 'Aspen', 'Jonsered Västra', 'Jonsered östra', 'Partille', 'Sävedalen', 'Göteborg Sävenäs', 'Olskroken', 'Göteborg Kville', 'Göteborg Lindholmen', 'Pölsebo', 'Göteborg Skandiahamnen']"
