station,total_trains,stop_count,stop_frequency,avg_dwell_min,median_dwell_min,max_dwell_min
Brålanda,12,12,1.0,8.666666666666666,6.0,25.0
Kil,12,12,1.0,7.333333333333333,4.0,15.0
Nässjö c,2,2,1.0,25.0,25.0,25.0
Strångsjö,2,2,1.0,5.0,5.0,5.0
Falköpings c,715,714,0.9986013986013986,9.1484593837535,5.0,25.0
Hallsbergs pbg,723,720,0.995850622406639,3.15,3.0,23.0
Åmål,10,8,0.8,17.75,15.0,30.0
Säffle,10,8,0.8,11.0,9.0,22.0
Skåre,10,8,0.8,7.25,5.5,14.0
Skebokvarn,552,376,0.6811594202898551,14.97340425531915,14.0,39.0
Hallsbergs rangerbangård,545,366,0.671559633027523,6.191256830601093,0.0,79.0
Skattkärr,9,6,0.6666666666666666,35.333333333333336,21.0,64.0
Lerum,493,270,0.5476673427991886,12.881481481481481,13.0,13.0
Laxå,498,270,0.5421686746987951,9.948148148148148,9.0,146.0
Tösse,8,4,0.5,11.0,11.0,14.0
Ånimskog,8,4,0.5,10.0,10.0,10.0
Svartå,8,4,0.5,6.0,6.0,6.0
Trollhättan,8,4,0.5,3.0,3.0,3.0
Alvhem,7,2,0.2857142857142857,17.0,17.0,17.0
Karlstads central,7,2,0.2857142857142857,82.0,82.0,82.0
Köpmannebro,7,2,0.2857142857142857,16.0,16.0,16.0
Ölme,7,2,0.2857142857142857,2.0,2.0,2.0
Varpemossen,7,2,0.2857142857142857,18.0,18.0,18.0
Kristinehamn,7,2,0.2857142857142857,9.0,9.0,9.0
Grums,7,2,0.2857142857142857,14.0,14.0,14.0
Edsvalla,7,2,0.2857142857142857,4.0,4.0,4.0
Bjurhem,7,2,0.2857142857142857,30.0,30.0,30.0
Stenkullen,411,106,0.25790754257907544,5.830188679245283,5.0,10.0
Stenstorp,401,88,0.2194513715710723,4.0,4.0,4.0
Kolke,371,14,0.03773584905660377,8.0,8.0,8.0
Göteborg Kville,366,4,0.01092896174863388,5.5,5.5,6.0
Stjärnhov,366,4,0.01092896174863388,8.0,8.0,8.0
Floby,359,2,0.005571030640668524,14.0,14.0,14.0
Bränninge,365,2,0.005479452054794521,12.0,12.0,12.0
Gnesta,365,2,0.005479452054794521,24.0,24.0,24.0
